tp,sampleID,genet,day,primeTank,bleachTank,trt,meanfvfm
1,C20,C,0,6,0,HH,0.74
1,D16,D,0,6,0,HH,0.67
1,E26,E,0,6,0,HH,0.72
1,F06,F,0,6,0,HH,0.71
1,G17,G,0,6,0,HH,0.74
1,H29,H,0,6,0,HH,0.69
1,I40,I,0,6,0,HH,0.67
1,J27,J,0,6,0,HH,0.72
1,C15,C,0,4,0,LH,0.73
1,D25,D,0,4,0,LH,0.71
1,E24,E,0,4,0,LH,0.71
1,F08,F,0,4,0,LH,0.73
1,G08,G,0,4,0,LH,0.73
1,H15,H,0,4,0,LH,0.70
1,I05,I,0,4,0,LH,0.67
1,J26,J,0,4,0,LH,0.73
1,C27,C,0,2,0,C,0.72
1,D05,D,0,2,0,C,0.73
1,E05,E,0,2,0,C,0.72
1,F14,F,0,2,0,C,0.70
1,G11,G,0,2,0,C,0.73
1,H07,H,0,2,0,C,0.71
1,I04,I,0,2,0,C,0.70
1,J19,J,0,2,0,C,0.70
2,C28,C,1,6,0,HH,0.63
2,D09,D,1,6,0,HH,0.59
2,E3W,E,1,6,0,HH,0.60
2,F15,F,1,6,0,HH,0.61
2,G32,G,1,6,0,HH,0.61
2,H32,H,1,6,0,HH,0.57
2,I37,I,1,6,0,HH,0.42
2,J24,J,1,6,0,HH,0.56
2,C33,C,1,5,0,HL,0.63
2,D27,D,1,5,0,HL,0.64
2,E27,E,1,5,0,HL,0.64
2,F26,F,1,5,0,HL,0.65
2,G07,G,1,5,0,HL,0.65
2,H33,H,1,5,0,HL,0.58
2,I1Y,I,1,5,0,HL,0.50
2,J11,J,1,5,0,HL,0.61
2,C09,C,1,4,0,LH,0.61
2,D18,D,1,4,0,LH,0.61
2,E13O,E,1,4,0,LH,0.63
2,F19,F,1,4,0,LH,0.64
2,G30,G,1,4,0,LH,0.61
2,H06,H,1,4,0,LH,0.58
2,I27,I,1,4,0,LH,0.55
2,J30,J,1,4,0,LH,0.65
2,C13,C,1,3,0,LL,0.59
2,D08,D,1,3,0,LL,0.63
2,E35,E,1,3,0,LL,0.61
2,F11,F,1,3,0,LL,0.63
2,G16,G,1,3,0,LL,0.63
2,H28,H,1,3,0,LL,0.54
2,I18,I,1,3,0,LL,0.49
2,J20,J,1,3,0,LL,0.62
2,C35,C,1,2,0,C,0.61
2,D12,D,1,2,0,C,0.59
2,E32,E,1,2,0,C,0.61
2,F23,F,1,2,0,C,0.66
2,G03,G,1,2,0,C,0.66
2,H11,H,1,2,0,C,0.63
2,I09,I,1,2,0,C,0.53
2,J18,J,1,2,0,C,0.64
2,C4W,C,1,1,0,C,0.61
2,D04,D,1,1,0,C,0.55
2,E28,E,1,1,0,C,0.61
2,F22,F,1,1,0,C,0.62
2,G10,G,1,1,0,C,0.64
2,H24,H,1,1,0,C,0.56
2,I25,I,1,1,0,C,0.42
2,J05,J,1,1,0,C,0.58
3,C34,C,2,6,0,HH,0.57
3,D13,D,2,6,0,HH,0.58
3,E25,E,2,6,0,HH,0.56
3,F10,F,2,6,0,HH,0.56
3,G33,G,2,6,0,HH,0.55
3,H31,H,2,6,0,HH,0.53
3,I15,I,2,6,0,HH,0.48
3,J10,J,2,6,0,HH,0.58
3,C30,C,2,5,0,HL,0.59
3,D1W,D,2,5,0,HL,0.53
3,E29,E,2,5,0,HL,0.55
3,F32,F,2,5,0,HL,0.56
3,G25,G,2,5,0,HL,0.60
3,H26,H,2,5,0,HL,0.50
3,I29,I,2,5,0,HL,0.47
3,J13,J,2,5,0,HL,0.57
3,C10,C,2,4,0,LH,0.54
3,D21,D,2,4,0,LH,0.54
3,E30,E,2,4,0,LH,0.56
3,F09,F,2,4,0,LH,0.54
3,G27,G,2,4,0,LH,0.58
3,H27,H,2,4,0,LH,0.52
3,I06,I,2,4,0,LH,0.48
3,J29,J,2,4,0,LH,0.56
3,C08,C,2,3,0,LL,0.56
3,D23,D,2,3,0,LL,0.64
3,E08,E,2,3,0,LL,0.56
3,F04,F,2,3,0,LL,0.51
3,G01,G,2,3,0,LL,0.56
3,H13,H,2,3,0,LL,0.55
3,I10,I,2,3,0,LL,0.48
3,J31,J,2,3,0,LL,0.55
3,C21,C,2,2,0,C,0.63
3,D07,D,2,2,0,C,0.60
3,E20,E,2,2,0,C,0.59
3,F24,F,2,2,0,C,0.59
3,G31,G,2,2,0,C,0.60
3,H25,H,2,2,0,C,0.60
3,I28,I,2,2,0,C,0.50
3,J09,J,2,2,0,C,0.56
3,C19,C,2,1,0,C,0.56
3,D26,D,2,1,0,C,0.55
3,E17,E,2,1,0,C,0.55
3,F16,F,2,1,0,C,0.50
3,G18,G,2,1,0,C,0.57
3,H03,H,2,1,0,C,0.51
3,I16,I,2,1,0,C,0.53
3,J06,J,2,1,0,C,0.52
4,C1B,C,5,6,0,HH,0.61
4,D01,D,5,6,0,HH,0.59
4,E15,E,5,6,0,HH,0.56
4,F31,F,5,6,0,HH,0.58
4,G19,G,5,6,0,HH,0.57
4,H34,H,5,6,0,HH,0.56
4,I20,I,5,6,0,HH,0.55
4,J01,J,5,6,0,HH,0.60
4,C25,C,5,5,0,HL,0.53
4,D34,D,5,5,0,HL,0.57
4,E33,E,5,5,0,HL,0.50
4,F20,F,5,5,0,HL,0.58
4,G02,G,5,5,0,HL,0.54
4,H19,H,5,5,0,HL,0.57
4,I26,I,5,5,0,HL,0.53
4,J08,J,5,5,0,HL,0.54
4,C12,C,5,4,0,LH,0.56
4,D30,D,5,4,0,LH,0.56
4,E36,E,5,4,0,LH,0.56
4,F02,F,5,4,0,LH,0.50
4,G14,G,5,4,0,LH,0.59
4,H30,H,5,4,0,LH,0.53
4,I33,I,5,4,0,LH,0.46
4,J02,J,5,4,0,LH,0.58
4,C14,C,5,3,0,LL,0.57
4,D06,D,5,3,0,LL,0.54
4,E04,E,5,3,0,LL,0.56
4,F12,F,5,3,0,LL,0.58
4,G29,G,5,3,0,LL,0.56
4,H10,H,5,3,0,LL,0.51
4,I19,I,5,3,0,LL,0.46
4,J25,J,5,3,0,LL,0.55
4,C36,C,5,2,0,C,0.52
4,D2W,D,5,2,0,C,0.52
4,E10,E,5,2,0,C,0.55
4,F18,F,5,2,0,C,0.58
4,G09,G,5,2,0,C,0.54
4,H20,H,5,2,0,C,0.56
4,I39,I,5,2,0,C,0.46
4,J16,J,5,2,0,C,0.53
4,C1W,C,5,1,0,C,0.56
4,D32,D,5,1,0,C,0.56
4,E31,E,5,1,0,C,0.55
4,F05,F,5,1,0,C,0.58
4,G28,G,5,1,0,C,0.59
4,H17,H,5,1,0,C,0.56
4,I34,I,5,1,0,C,0.44
4,J14,J,5,1,0,C,0.57
5,C36,C,10,2,4,C,0.56
5,D12,D,10,2,4,C,0.56
5,E10,E,10,2,4,C,0.58
5,F22,F,10,1,4,C,0.60
5,G28,G,10,1,4,C,0.61
5,H11,H,10,2,4,C,0.57
5,I09,I,10,2,4,C,0.49
5,J14,J,10,1,4,C,0.59
5,I20,I,10,6,3,HH,0.51
5,D09,D,10,6,5,HH,0.55
5,E3W,E,10,6,5,HH,0.60
5,C28,C,10,6,6,HH,0.58
5,H34,H,10,6,6,HH,0.54
5,X,F,10,X,X,HH,0.00
5,X,G,10,X,X,HH,0.00
5,X,J,10,X,X,HH,0.00
5,H33,H,10,5,1,HL,0.56
5,I26,I,10,5,1,HL,0.47
5,C33,C,10,5,2,HL,0.60
5,F26,F,10,5,2,HL,0.60
5,D27,D,10,5,3,HL,0.55
5,E33,E,10,5,3,HL,0.55
5,J08,J,10,5,5,HL,0.55
5,G02,G,10,5,6,HL,0.59
5,C09,C,10,4,1,LH,0.60
5,E13O,E,10,4,1,LH,0.58
5,D18,D,10,4,2,LH,0.60
5,G14,G,10,4,2,LH,0.62
5,J02,J,10,4,2,LH,0.58
5,F19,F,10,4,3,LH,0.60
5,H30,H,10,4,5,LH,0.55
5,I27,I,10,4,6,LH,0.52
5,D08,D,10,3,1,LL,0.56
5,F11,F,10,3,1,LL,0.59
5,G29,G,10,3,1,LL,0.60
5,E35,E,10,3,2,LL,0.55
5,H10,H,10,3,2,LL,0.55
5,J25,J,10,3,3,LL,0.58
5,C13,C,10,3,5,LL,0.58
5,I18,I,10,3,5,LL,0.50
5,I25,I,10,1,2,C,0.44
5,C4W,C,10,1,3,C,0.55
5,G09,G,10,2,3,C,0.57
5,H17,H,10,1,3,C,0.55
5,D04,D,10,2,6,C,0.54
5,E28,E,10,2,6,C,0.56
5,F23,F,10,2,6,C,0.59
5,J18,J,10,2,6,C,0.57
6,C36,C,11,2,4,C,0.59
6,D12,D,11,2,4,C,0.50
6,E10,E,11,2,4,C,0.56
6,F22,F,11,1,4,C,0.52
6,G28,G,11,1,4,C,0.53
6,H11,H,11,2,4,C,0.54
6,I09,I,11,2,4,C,0.48
6,J14,J,11,1,4,C,0.56
6,I20,I,11,6,3,HH,0.46
6,D09,D,11,6,5,HH,0.56
6,E3W,E,11,6,5,HH,0.52
6,C28,C,11,6,6,HH,0.50
6,H34,H,11,6,6,HH,0.42
6,X,F,11,X,X,HH,0.00
6,X,G,11,X,X,HH,0.00
6,X,J,11,X,X,HH,0.00
6,H33,H,11,5,1,HL,0.48
6,I26,I,11,5,1,HL,0.48
6,C33,C,11,5,2,HL,0.52
6,F26,F,11,5,2,HL,0.57
6,D27,D,11,5,3,HL,0.54
6,E33,E,11,5,3,HL,0.51
6,J08,J,11,5,5,HL,0.53
6,G02,G,11,5,6,HL,0.51
6,C09,C,11,4,1,LH,0.54
6,E13O,E,11,4,1,LH,0.49
6,D18,D,11,4,2,LH,0.55
6,G14,G,11,4,2,LH,0.58
6,J02,J,11,4,2,LH,0.52
6,F19,F,11,4,3,LH,0.57
6,H30,H,11,4,5,LH,0.47
6,I27,I,11,4,6,LH,0.48
6,D08,D,11,3,1,LL,0.50
6,F11,F,11,3,1,LL,0.57
6,G29,G,11,3,1,LL,0.59
6,E35,E,11,3,2,LL,0.52
6,H10,H,11,3,2,LL,0.48
6,J25,J,11,3,3,LL,0.51
6,C13,C,11,3,5,LL,0.58
6,I18,I,11,3,5,LL,0.44
6,I25,I,11,1,2,N,0.39
6,C4W,C,11,1,3,N,0.57
6,G09,G,11,2,3,N,0.55
6,H17,H,11,1,3,N,0.47
6,D04,D,11,1,6,N,0.47
6,E28,E,11,1,6,N,0.51
6,F23,F,11,2,6,N,0.57
6,J18,J,11,2,6,N,0.46